usernames,post_captions,like_counts,comments_counts,comments_content,comment_user,types,id,post_lang,comment_lang
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,Both🥺🖤,bshbosha_2,GraphImage,2336310757196947429,ar,en
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,Toby’s latte 😍,fawaz_aljeemaz,GraphImage,2336310757196947429,ar,en
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,كولد برو😍😍,7_eldosari,GraphImage,2336310757196947429,ar,ar
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,Toby’s latte 🤎🤝,amnalmandeel,GraphImage,2336310757196947429,ar,en
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,@calisthenics965 في الوقت الحالي اللاتيه الي في ترولي غير متوفر بحليب coconut or Almond.,tobysestatekw,GraphImage,2336310757196947429,ar,ar
tobysestatekw,"كولد برو ولا توبيز لاتي ؟ 
متوفرين في @trolley_kw",-1,10,🖤🖤🖤,abteverythingkw,GraphImage,2336310757196947429,ar,Emjoi or No Caption
tobysestatekw,Treat your dad to a cup of coffee this morning! 💚,-1,3,to*,h_wsa,GraphImage,2336170285199536126,en,en
tobysestatekw,Treat your dad to a cup of coffee this morning! 💚,-1,3,عفوا وين فرع السالميه؟؟؟,the_queen_mas,GraphImage,2336170285199536126,en,ar
tobysestatekw,Treat your dad to a cup of coffee this morning! 💚,-1,3,@the_queen_mas hi ... our Salmiya branch is located outside of Symphony mall and Car Service is available from Salem Al-Mubarak street (across from AUK),tobysestatekw,GraphImage,2336170285199536126,en,en
tobysestatekw,Happy Fathers Day! 💚,-1,1,يارباه شي قوي❤️,dragon_kuwaiti,GraphImage,2336169853932872029,en,ar
tobysestatekw,كل عام و كل أب بخير 💚,-1,0,no comment,duvetsandmore,GraphImage,2336169470405690113,ar,en
tobysestatekw,"نستقبل طلباتكم في
مروج-شويخ-شرق-البدع-سي ڤيو",-1,5,@amab83,mandoob.ttawseel,GraphImage,2334983391044484516,ar,Emjoi or No Caption
tobysestatekw,"نستقبل طلباتكم في
مروج-شويخ-شرق-البدع-سي ڤيو",-1,5,توصيل طلبات الكويت99332831🇰🇼🚗,mandoob.ttawseel,GraphImage,2334983391044484516,ar,ar
tobysestatekw,"نستقبل طلباتكم في
مروج-شويخ-شرق-البدع-سي ڤيو",-1,5,توصيل طلبات الكويت99332831🇰🇼🚗,today.55,GraphImage,2334983391044484516,ar,ar
tobysestatekw,"نستقبل طلباتكم في
مروج-شويخ-شرق-البدع-سي ڤيو",-1,5,مروج لي الساعه جم اليوم,tobysestatekw,GraphImage,2334983391044484516,ar,ar
tobysestatekw,"نستقبل طلباتكم في
مروج-شويخ-شرق-البدع-سي ڤيو",-1,5,@today.55 hi ... all of our locations are open till 6 pm,dalalmfam,GraphImage,2334983391044484516,ar,en
tobysestatekw,"اطلب الكولد برو من
@deliveroo_kw  @talabatkwt @getcofe 
و انت بالبيت! 🚙",-1,3,ليش ما توصلون عبدالله مبارك😭,artym7md,GraphImage,2334826646154463074,ar,ar
tobysestatekw,"اطلب الكولد برو من
@deliveroo_kw  @talabatkwt @getcofe 
و انت بالبيت! 🚙",-1,3,كله sold out 🚶🏻‍♂️,tobysestatekw,GraphImage,2334826646154463074,ar,ar
tobysestatekw,"اطلب الكولد برو من
@deliveroo_kw  @talabatkwt @getcofe 
و انت بالبيت! 🚙",-1,3,@artym7md hello. We just increased our quantities in most trolley branches. 🙏🏻,dado611,GraphImage,2334826646154463074,ar,en
tobysestatekw,Who feels like cold brew today to? 🧊,-1,2,💕💕,bshbosha_2,GraphImage,2334757254003686060,en,Emjoi or No Caption
tobysestatekw,Who feels like cold brew today to? 🧊,-1,2,حيل احب قهوتكم وستافكم🥺❤️,26s,GraphImage,2334757254003686060,en,ar
tobysestatekw,Which is your favorite blend? ☕️,-1,7,dark,fjbxx_,GraphImage,2333412981391820057,en,en
tobysestatekw,Which is your favorite blend? ☕️,-1,7,اخيس سيرفس قهوه شفته بحياتي لا من موظفين ولا احترام. طالبين من برنامج cofe ونطرنا فوق الساعه ومليون سياره بعدنا خذو طلباتهم. والله لو مو دافع كي نت جان سحبت على القهوه. اتمنى تحلون المشكله,fjbxx_,GraphImage,2333412981391820057,en,ar
tobysestatekw,Which is your favorite blend? ☕️,-1,7,@fjbxx_ فوق هذا يابولي الطلب طعمه ماي ، يعطيكم العافيه توبيز,tobysestatekw,GraphImage,2333412981391820057,en,ar
tobysestatekw,Which is your favorite blend? ☕️,-1,7,@fjbxx_ جاري التواصل معاك عالخاص,coofetalk,GraphImage,2333412981391820057,en,ar
tobysestatekw,Which is your favorite blend? ☕️,-1,7,@ro7alsama,translationsworld,GraphImage,2333412981391820057,en,Emjoi or No Caption
tobysestatekw,Which is your favorite blend? ☕️,-1,7,#kuwait#translation#ترجمة#قانونية#ترجمةطبية#ترجمةشهادات,f.m.r36,GraphImage,2333412981391820057,en,ar
tobysestatekw,Which is your favorite blend? ☕️,-1,7,ممكن تشوفون الدايركت ؟!!!,alajmi92__,GraphImage,2333412981391820057,en,ar
tobysestatekw,"بكل بساطة... ماء حار و ""ستيبد"" و القهوة تكون جاهزة ☕️",-1,1,😍😍💪🏻,26s,GraphImage,2333369597231017849,ar,Emjoi or No Caption
tobysestatekw,"خطوات بسيطه.. ☕️
متوفره للتوصيل عبر 
طلبات-دلفروو-كوفي",-1,0,no comment,dalola_a_alduaij,GraphImage,2333355925200906769,ar,en
tobysestatekw,اطلب قهوتك و انت بالسيارة 🚙,-1,8,😍,batool_alsahhaf,GraphImage,2332663959847263257,ar,Emjoi or No Caption
tobysestatekw,اطلب قهوتك و انت بالسيارة 🚙,-1,8,😍❤️,tobysestatekw,GraphImage,2332663959847263257,ar,Emjoi or No Caption
tobysestatekw,اطلب قهوتك و انت بالسيارة 🚙,-1,8,مافي طريقة احسن من هالطريقة ؟ مثلا drive through .. وايد زحمة و الجو حار عالموظفين ماتوا من الحر و اهما يدورون السيايير,batool_alsahhaf,GraphImage,2332663959847263257,ar,ar
tobysestatekw,اطلب قهوتك و انت بالسيارة 🚙,-1,8,@batool_alsahhaf thank you for your message and concern. We are implementing a new process of ordering and will announce it soon to help our staff and to better serve our client.,chemists89,GraphImage,2332663959847263257,ar,en
tobysestatekw,اطلب قهوتك و انت بالسيارة 🚙,-1,8,@tobysestatekw 👏🏻👏🏻👏🏻👏🏻,911v2,GraphImage,2332663959847263257,ar,Emjoi or No Caption
tobysestatekw,اطلب قهوتك و انت بالسيارة 🚙,-1,8,اسرع خدمه 👏🏼🔥❤️والقهوه لذيذه!,911v2,GraphImage,2332663959847263257,ar,ar
tobysestatekw,Order your coffee from @deliveroo_kw till 4pm! 🚙,-1,3,طلبات وين ؟,tobysestatekw,GraphImage,2332640215179305774,en,ar
tobysestatekw,Order your coffee from @deliveroo_kw till 4pm! 🚙,-1,3,توني شفت حاطين مقفل,lalfadhalah,GraphImage,2332640215179305774,en,ar
tobysestatekw,Order your coffee from @deliveroo_kw till 4pm! 🚙,-1,3,@911v2 متواجدين على تطبيق طلبات و دليفيرو و كوفي,wishes935,GraphImage,2332640215179305774,en,ar
tobysestatekw,Good morning! Stay safe and we’ll serve you in your car 🚙,-1,4,The best service.. u never let me down ♥️,tobysestatekw,GraphImage,2332585493227387632,en,en
tobysestatekw,Good morning! Stay safe and we’ll serve you in your car 🚙,-1,4,Morning 💗,tobysestatekw,GraphImage,2332585493227387632,en,en
tobysestatekw,Good morning! Stay safe and we’ll serve you in your car 🚙,-1,4,@lalfadhalah thank you 😊,chemists89,GraphImage,2332585493227387632,en,en
tobysestatekw,Good morning! Stay safe and we’ll serve you in your car 🚙,-1,4,@wishes935 Good Morning,malk198924,GraphImage,2332585493227387632,en,en
tobysestatekw,30 more min. for the last order! Hurry! 🧊,-1,5,🔥🔥🔥❤️,we_love_jabriya,GraphImage,2332098017888585493,en,Emjoi or No Caption
tobysestatekw,30 more min. for the last order! Hurry! 🧊,-1,5,@tobysestatekw  شكرا على تعبيتكم ترولي الرحاب اليوم فل اليوم كان موجود 💙🚶🏻‍♂️,postsby_a,GraphImage,2332098017888585493,en,ar
tobysestatekw,30 more min. for the last order! Hurry! 🧊,-1,5,Try opening a branch in Jabriya after all of this is over 🙏,threehungrygirlss,GraphImage,2332098017888585493,en,en
tobysestatekw,30 more min. for the last order! Hurry! 🧊,-1,5,الاخضر ايس تي؟,falsharkh12,GraphImage,2332098017888585493,en,ar
tobysestatekw,30 more min. for the last order! Hurry! 🧊,-1,5,😍😍😍,saleh_alsheeha,GraphImage,2332098017888585493,en,Emjoi or No Caption
tobysestatekw,Does it get any better ? 🧊,-1,4,شنو اسم المشروب ؟,jassim_al_saad_rm,GraphImage,2332019373933795177,en,ar
tobysestatekw,Does it get any better ? 🧊,-1,4,mixed berries💜💜,tobysestatekw,GraphImage,2332019373933795177,en,en
tobysestatekw,Does it get any better ? 🧊,-1,4,اليوم طلبت منكم واول مره اطلب وصراحه ماعجبني والايس امريكانو سيئه,j.alostad,GraphImage,2332019373933795177,en,ar
tobysestatekw,Does it get any better ? 🧊,-1,4,@falsharkh12 iced tea (Passion Fruite),amjad_aljadidi,GraphImage,2332019373933795177,en,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,اوك,alajmi92__,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,Waiting You in Oman 😍,hamed__ashkanani,GraphImage,2331942904716997335,ar,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,😍😍,engalbassam,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,🔥🔥,oam_95,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,This one ice tea?,ralqattan_,GraphImage,2331942904716997335,ar,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,توني توني طالب 🔥,lo1819ve,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,🤩🤩🤩🤩,latiefaalnoumas,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,😍👏🏼,tobysestatekw,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,الاخضر شنو ماتچا ؟,tobysestatekw,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@engalbassam Ice Tea / Matcha / Toby’s latte,tobysestatekw,GraphImage,2331942904716997335,ar,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@amjad_aljadidi inshallah 🙏🏽,m7amed.hm,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@latiefaalnoumas yes. Ice Matcha,wafax82,GraphImage,2331942904716997335,ar,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,الاحمر شنو ؟,tobysestatekw,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,😍😍,dasoka,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@m7amed.hm ice Tea,alfelaih_fcb,GraphImage,2331942904716997335,ar,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,يشوقون,f41x,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@f41x 🤔 تفكر بالي أفكر فيه,alfelaih_fcb,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@alfelaih_fcb الوعد بكرا ؟🔥,f41x,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@f41x  تم,fbalhamad,GraphImage,2331942904716997335,ar,ar
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,@alfelaih_fcb 👍🏻👍🏻👍🏻,fahadalshamri91,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,What flavor is the ice tea?!,fashionable.noon,GraphImage,2331942904716997335,ar,en
tobysestatekw,الجو يبيله شي بارد! 🧊,-1,22,😍,danah__alshaikh90,GraphImage,2331942904716997335,ar,Emjoi or No Caption
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,مروج😍,deetrendkw,GraphImage,2331458144617944386,ar,arfa
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,😍البدع,yalhajry94,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,البدع و مروج 😍,nouralmanea,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,Murooj🔥,chokwbar,GraphImage,2331458144617944386,ar,en
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,مرووووج 😍 بعدين شويييخ 😍,aldanah.h.f,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,♥️مروج,manar_almuseleem,GraphImage,2331458144617944386,ar,arfa
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,مروووووج 😍,fjj.q8,GraphImage,2331458144617944386,ar,psar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,شويخ,hsooooooon29,GraphImage,2331458144617944386,ar,ps
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,مروووج احلى سيرفيس بعد😍🔥,amooli.moly,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,البدع😍,shrifaalhasan,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,الشويخ 💕,fatma_sb,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,شـويخ ومروج🤍,7essa_alkharafi,GraphImage,2331458144617944386,ar,ps
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,البدع و مروج 👌🏼,oam_95,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,مروج💕,alsarrafson,GraphImage,2331458144617944386,ar,arfa
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,البدع 👏🏾,6alghareb,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,From Leo 🤪,q8_813,GraphImage,2331458144617944386,ar,en
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,مروووج💕,ax33_,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,الي بالديرة👍🏼,sarahkalsaadi,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,تصويركم شي جبار,fahadalshamri91,GraphImage,2331458144617944386,ar,ar
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,Murouj😍,khalidwr,GraphImage,2331458144617944386,ar,ja
tobysestatekw,الصبح تحبون قهوتكم بأي فرع ؟ 🌤,-1,21,الديره,the.coffeekw,GraphImage,2331458144617944386,ar,ar
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,"service in Bidaa branch is very quick, but if you could provide the tap knet machine it’d be better for  your staff and customers safeguard. Thank you 💐",girmne72,GraphImage,2331198136802232238,en,en
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,😻👏🏼,tobysestatekw,GraphImage,2331198136802232238,en,Emjoi or No Caption
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,I take from bidaa today 👌🏻,khalidwr,GraphImage,2331198136802232238,en,en
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,@khalidwr thank you for your suggestion. You are right and we are working to upgrade all of our Knet machines to Tap for your safety and the safety of our staff. 🌴,latefamalayoub,GraphImage,2331198136802232238,en,en
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,@tobysestatekw ❤️🌴,k.maq8,GraphImage,2331198136802232238,en,Emjoi or No Caption
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,direct please,alajmi92__,GraphImage,2331198136802232238,en,en
tobysestatekw,"Have you picked up your coffee?☕️
Available in Morouj-Shuwaikh-Sharq-Bidaa-SeaView
From 7am till 5pm",-1,7,في بوكس قهوه,hamad_alwanyan,GraphImage,2331198136802232238,en,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,صباح النور 😍,j.alostad,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,صباح النور يا بعدهم 🙄❤️😍,talalalkhaldiii,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,اوك,m7md_bs,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,احلا ايس توبيز,the.coffeekw,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,الغواتيمالا بينز يفوز 🔥,heh_90,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,صباح النوور 😻😻,tobysestatekw,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,ليش فرع السالمية مسكر؟؟💔😢,tobysestatekw,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,@talalalkhaldiii بالعافية ♥️,tobysestatekw,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,@heh_90 ان شاء الله راح يتم فتح الفرع قريب.,samerah635,GraphImage,2331112249787441726,ar,ar
tobysestatekw,"صباح الخير! ☕️
نستقبل طلباتكم من ٧ص الى ٥م 
مروج- شويخ-شرق-سي ڤيو-البدع",-1,10,@m7md_bs the Geisha line always wins. Amazing flavors and bold notes. Glad you liked it.,thekindof_,GraphImage,2331112249787441726,ar,en
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,بارد,e_alzamel,GraphImage,2330640180545203654,ar,ar
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,Both 🔥,b0_7amod92,GraphImage,2330640180545203654,ar,en
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,بارد,21_2a93,GraphImage,2330640180545203654,ar,ar
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,ليش تكذب عالعميل,ammaneh_,GraphImage,2330640180545203654,ar,ar
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,صااارت يعني😍😍😍😍 نسويها بالبيت!!,hajriii.q8,GraphImage,2330640180545203654,ar,ar
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,Both♥️,munchieskw,GraphImage,2330640180545203654,ar,en
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,كلهم حلوين,b0_7amod92,GraphImage,2330640180545203654,ar,ar
tobysestatekw,تحبون اللاتيه بارد ولا حار؟ 🌴,-1,8,بااارد😍,8alazmi_,GraphImage,2330640180545203654,ar,fa
tobysestatekw,جربتوه مع الحليب؟,-1,5,خدمه فاشله,blog_alsari,GraphImage,2330520471392951445,ar,ar
tobysestatekw,جربتوه مع الحليب؟,-1,5,لا👀,mubkharna,GraphImage,2330520471392951445,ar,ar
tobysestatekw,جربتوه مع الحليب؟,-1,5,اشتقنالكم,bayoubii,GraphImage,2330520471392951445,ar,ar
tobysestatekw,جربتوه مع الحليب؟,-1,5,چاي ؟,b0_7amod92,GraphImage,2330520471392951445,ar,fa
tobysestatekw,جربتوه مع الحليب؟,-1,5,ما يضبط😩 شكثر أحط حليب؟,fatmaaly20,GraphImage,2330520471392951445,ar,ar
tobysestatekw,أسهل من جذي مافي,-1,6,U suck,thekindof_,GraphImage,2330387115628035090,ar,en
tobysestatekw,أسهل من جذي مافي,-1,6,هذا شاي وله قهوة 😬 ؟,lonley_cr7,GraphImage,2330387115628035090,ar,ar
tobysestatekw,أسهل من جذي مافي,-1,6,😍👏🏻,tobysestatekw,GraphImage,2330387115628035090,ar,Emjoi or No Caption
tobysestatekw,أسهل من جذي مافي,-1,6,في فليفور ولا ساده,tobysestatekw,GraphImage,2330387115628035090,ar,ar
tobysestatekw,أسهل من جذي مافي,-1,6,@fatmaaly20 قهوة,b0_7amod92,GraphImage,2330387115628035090,ar,ar
tobysestatekw,أسهل من جذي مافي,-1,6,@lonley_cr7 ساده - مثل الأمريكانو,b0_7amod92,GraphImage,2330387115628035090,ar,ar
tobysestatekw,A refreshing cup of Coffee 🌴,-1,3,خلك قد كلمتك مره ثانيه ولا تعطي وعود كاذبه,thekindof_,GraphImage,2329910054056560811,en,ar
tobysestatekw,A refreshing cup of Coffee 🌴,-1,3,U guys lack of honesty.. U SUCK 👎,8alazmi_,GraphImage,2329910054056560811,en,en
tobysestatekw,A refreshing cup of Coffee 🌴,-1,3,🔥🔥🔥,b0_7amod92,GraphImage,2329910054056560811,en,Emjoi or No Caption
tobysestatekw,It’s as simple as 1 2 3 🚀,-1,2,😍,alajmi92__,GraphImage,2329801520266554929,en,Emjoi or No Caption
tobysestatekw,It’s as simple as 1 2 3 🚀,-1,2,خدمه فاشله,alajmi92__,GraphImage,2329801520266554929,en,ar
tobysestatekw,Big flavor in a small package.,-1,4,😍😍,b0_7amod92,GraphImage,2329713884394931220,en,Emjoi or No Caption
tobysestatekw,Big flavor in a small package.,-1,4,💪🏻,kuwinay,GraphImage,2329713884394931220,en,Emjoi or No Caption
tobysestatekw,Big flavor in a small package.,-1,4,خدمه سيئة,live.7.love,GraphImage,2329713884394931220,en,ar
tobysestatekw,Big flavor in a small package.,-1,4,Ooo❤️,thekindof_,GraphImage,2329713884394931220,en,en
tobysestatekw,For all of you Toby’s fans out there; Toby’s Latte is available in select @trolley_kw branches. Go grab your ice cold refreshing bottle of hand crafted Toby’s latte while they last. 🌴,-1,30,بس لاتيه😢 نيي كولد برو,tobysestatekw,GraphImage,2328544659215219363,en,ar
